Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","38000","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1961","1961","100 g/ha","7483","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1961","1961","t","28434","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","58480","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1962","1962","100 g/ha","11755","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1962","1962","t","68744","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","3850","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1963","1963","100 g/ha","20000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1963","1963","t","7700","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","24145","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1964","1964","100 g/ha","8826","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1964","1964","t","21311","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1965","1965","ha","23157","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1965","1965","100 g/ha","19000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1965","1965","t","43998","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1966","1966","ha","48900","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1966","1966","100 g/ha","10000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1966","1966","t","48900","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1967","1967","ha","53200","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1967","1967","100 g/ha","10000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1967","1967","t","53200","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1968","1968","ha","42800","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1968","1968","100 g/ha","10000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1968","1968","t","42800","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1969","1969","ha","41300","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1969","1969","100 g/ha","10000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1969","1969","t","41300","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1970","1970","ha","53385","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1970","1970","t","64062","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1971","1971","ha","54490","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1971","1971","100 g/ha","10348","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1971","1971","t","56388","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1972","1972","ha","49917","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1972","1972","100 g/ha","10000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1972","1972","t","49917","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1973","1973","ha","55270","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1973","1973","100 g/ha","9907","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1973","1973","t","54755","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1974","1974","ha","62561","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1974","1974","100 g/ha","10181","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1974","1974","t","63696","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1975","1975","ha","62745","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1975","1975","100 g/ha","10751","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1975","1975","t","67457","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1976","1976","ha","65407","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1976","1976","100 g/ha","10798","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1976","1976","t","70627","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1977","1977","ha","70036","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1977","1977","100 g/ha","11018","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1977","1977","t","77166","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1978","1978","ha","67474","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1978","1978","100 g/ha","11210","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1978","1978","t","75635","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1979","1979","ha","77759","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1979","1979","100 g/ha","10719","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1979","1979","t","83348","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1980","1980","ha","71800","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1980","1980","100 g/ha","11847","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1980","1980","t","85059","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1981","1981","ha","68785","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1981","1981","100 g/ha","12328","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1981","1981","t","84800","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1982","1982","ha","79229","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1982","1982","100 g/ha","11606","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1982","1982","t","91956","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1983","1983","ha","85400","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1983","1983","100 g/ha","12916","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1983","1983","t","110300","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1984","1984","ha","85000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1984","1984","100 g/ha","11988","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1984","1984","t","101900","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1985","1985","ha","81639","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1985","1985","100 g/ha","12182","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1985","1985","t","99452","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1986","1986","ha","79250","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1986","1986","100 g/ha","11305","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1986","1986","t","89590","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1987","1987","ha","61100","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1987","1987","100 g/ha","14839","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1987","1987","t","90665","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1988","1988","ha","75000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1988","1988","100 g/ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1988","1988","t","135000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1989","1989","ha","80000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1989","1989","100 g/ha","11875","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1989","1989","t","95000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1990","1990","ha","98522","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1990","1990","100 g/ha","10252","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1990","1990","t","101000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1991","1991","ha","90000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1991","1991","100 g/ha","11556","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1991","1991","t","104000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1992","1992","ha","80000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1992","1992","100 g/ha","12250","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1992","1992","t","98000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1993","1993","ha","50000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1993","1993","100 g/ha","17400","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1993","1993","t","87000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1994","1994","ha","40000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1994","1994","100 g/ha","16750","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1994","1994","t","67000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1995","1995","ha","50000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1995","1995","100 g/ha","11200","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1995","1995","t","56000","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1996","1996","ha","60000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1996","1996","100 g/ha","11099","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1996","1996","t","66595","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1997","1997","ha","76481","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1997","1997","100 g/ha","10908","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1997","1997","t","83427","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1998","1998","ha","71212","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1998","1998","100 g/ha","8231","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1998","1998","t","58618","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","1999","1999","ha","72673","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","1999","1999","100 g/ha","7556","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","1999","1999","t","54912","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","89053","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2000","2000","100 g/ha","7018","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2000","2000","t","62501","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2001","2001","ha","105560","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2001","2001","100 g/ha","7671","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2001","2001","t","80979","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2002","2002","ha","104628","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2002","2002","100 g/ha","8763","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2002","2002","t","91686","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","102820","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2003","2003","100 g/ha","7672","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2003","2003","t","78886","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","115000","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2004","2004","100 g/ha","7670","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2004","2004","t","88209","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","109400","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2005","2005","100 g/ha","8889","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2005","2005","t","97251","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","113312","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2006","2006","100 g/ha","8531","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2006","2006","t","96662","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","141168","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2007","2007","100 g/ha","7201","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2007","2007","t","101659","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","144896","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2008","2008","100 g/ha","11515","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2008","2008","t","166853","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","147129","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2009","2009","100 g/ha","19503","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2009","2009","t","286946","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","184658","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2010","2010","100 g/ha","23416","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2010","2010","t","432404","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2011","2011","ha","223414","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2011","2011","100 g/ha","23529","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2011","2011","t","525679","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2012","2012","ha","253698","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2012","2012","100 g/ha","22587","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2012","2012","t","573038","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2013","2013","ha","292326","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2013","2013","100 g/ha","22845","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2013","2013","t","667833","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2014","2014","ha","233150","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2014","2014","100 g/ha","15316","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2014","2014","t","357083","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","241713","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2015","2015","100 g/ha","15313","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2015","2015","t","370140","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","237658","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2016","2016","100 g/ha","15748","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2016","2016","t","374266.77","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","297447","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","13793","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2017","2017","t","410280.02","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","296330","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2018","2018","100 g/ha","14315","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2018","2018","t","424203.68","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","288298","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","14610","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2019","2019","t","421218.19","A","Official figure",""
