system:index,crop_id,crop_type,crop_yn,district,intercrop,label,maize,maizeProb,maizeYield,maizeYieldAdj_optimalClass,maizeYield_majorityClass,maize_mono,majorityClass,optimalClass,pct_primary_crop,random_order,season,set,sos_actual,type_int,yield_acre,yield_kg_ha,yield_kg_ha_sqrt,.geo
2019_Season_A_2019_Season_A_0000000000000000013e,rti_474,nonmaize_annual,crop,28.0,-999,legumes,0,0.08265107125043869,2663.76513671875,-999,-999,0.0,2.0,2.0,-999,318,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000021c,rti_364,nonmaize_annual,crop,53.0,-999,legumes,0,0.5160442590713501,3717.03515625,2351.66943359375,3717.03515625,0.0,1.0,1.0,-999,540,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000003d0,rti_732,nonmaize_annual,crop,53.0,-999,legumes,0,0.34917110204696655,4043.99267578125,-999,-999,0.0,2.0,2.0,-999,976,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000004ef,rti_423,nonmaize_annual,crop,23.0,-999,legumes,0,0.309378981590271,3182.501953125,-999,-999,0.0,2.0,2.0,-999,1263,2019_Season_A,testing,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000682,rti_453,nonmaize_annual,crop,28.0,-999,legumes,0,0.029552439227700233,2352.1025390625,-999,-999,0.0,2.0,2.0,-999,1666,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000006ec,rti_2552,nonmaize_annual,crop,43.0,-999,legumes,0,0.17015476524829865,6006.3271484375,-999,-999,0.0,2.0,2.0,-999,1772,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000782,rti_425,nonmaize_annual,crop,23.0,-999,legumes,0,0.0735115185379982,3257.85546875,-999,-999,0.0,2.0,2.0,-999,1922,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000a4e,rti_388,nonmaize_annual,crop,23.0,-999,legumes,0,0.17344681918621063,3306.89501953125,-999,-999,0.0,2.0,2.0,-999,2638,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000bc1,rti_806,nonmaize_annual,crop,43.0,-999,legumes,0,0.03554237633943558,5547.6435546875,-999,-999,0.0,8.0,8.0,-999,3009,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000d11,rti_1997,nonmaize_annual,crop,42.0,-999,legumes,0,0.034729160368442535,3656.7548828125,-999,-999,0.0,8.0,8.0,-999,3345,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000d52,rti_1682,nonmaize_annual,crop,53.0,-999,legumes,0,0.28174200654029846,2872.14208984375,-999,-999,0.0,2.0,2.0,-999,3410,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000da4,rti_23,nonmaize_annual,crop,42.0,-999,legumes,0,0.30873239040374756,3238.41552734375,-999,-999,0.0,2.0,2.0,-999,3492,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000000da9,rti_560,nonmaize_annual,crop,43.0,-999,legumes,0,0.23398511111736298,5504.591796875,-999,-999,0.0,2.0,2.0,-999,3497,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001153,rti_627,nonmaize_annual,crop,23.0,-999,legumes,0,0.24570828676223755,4098.61474609375,-999,-999,0.0,2.0,2.0,-999,4435,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000012c7,rti_1439,nonmaize_annual,crop,23.0,-999,legumes,0,0.19146110117435455,3692.8916015625,-999,-999,0.0,2.0,2.0,-999,4807,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001437,rti_1917,nonmaize_annual,crop,53.0,-999,legumes,0,0.8837491869926453,4614.91357421875,2919.733154296875,4614.91357421875,0.0,1.0,1.0,-999,5175,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001447,rti_574,nonmaize_annual,crop,28.0,-999,legumes,0,0.20255157351493835,2140.022705078125,-999,-999,0.0,2.0,2.0,-999,5191,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_000000000000000014fb,rti_35,nonmaize_annual,crop,28.0,-999,legumes,0,0.19138193130493164,2599.11767578125,-999,-999,0.0,2.0,2.0,-999,5371,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_0000000000000000158c,rti_566,nonmaize_annual,crop,28.0,-999,legumes,0,0.13942265510559082,2834.806640625,-999,-999,0.0,2.0,2.0,-999,5516,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001673,rti_517,nonmaize_annual,crop,23.0,-999,legumes,0,0.38672494888305664,3199.67822265625,703.5623168945312,-999,0.0,2.0,1.0,-999,5747,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_Season_A_2019_Season_A_00000000000000001684,rti_1485,nonmaize_annual,crop,23.0,-999,legumes,0,0.08180677890777588,3292.37451171875,-999,-999,0.0,2.0,2.0,-999,5764,2019_Season_A,training,20180901,1,-999,-999,-999,"{""type"":""MultiPoint"",""coordinates"":[]}"
